ID,GC_SampleNo,GC_Date,GC.final.conc,Behav_Date,DateDiff,Month,Rank,RelRank,TotalObservedTime,Total.GR,Total.GR.Rec,Total.GR.Given,FreqTotalGR,FreqGRRec,FreqGRGiven,ProxAll,ProxAF,ProxAM,ProxJuv,Scansperday,FreqAllProx,FreqAFProx,FreqAMProx,FreqJuvProx,TimeSpentConsort,FreqTimeSpentConsort,TimeSpentCop,FreqTimeSpentCop
0G8,41,1/26/15,670.3448276,1/26/15,0,1,27,0.519230769,0:30:22,0:00:00,0:00:00,0:00:00,0,0,0,15,1,4,9,7,2.142857143,0.142857143,0.571428571,1.285714286,0:00:00,0,0:00:00,0
0G8,83,2/10/15,1102.5,2/10/15,0,2,27,0.519230769,1:00:44,0:06:24,0:06:24,0:00:00,0.105378705,0.105378705,0,7,1,2,4,14,0.5,0.071428571,0.142857143,0.285714286,0:00:00,0,0:00:00,0
0G8,99,2/17/15,930,2/17/15,0,2,27,0.519230769,0:15:44,0:00:00,0:00:00,0:00:00,0,0,0,12,4,2,6,4,3,1,0.5,1.5,0:00:00,0,0:00:00,0
0G8,59,2/3/15,1544.727273,2/2/15,1,2,27,0.519230769,0:31:07,0:00:00,0:00:00,0:00:00,0,0,0,17,3,2,12,6,2.833333333,0.5,0.333333333,2,0:00:00,0,0:00:00,0
0G8,118,2/23/15,1257.931034,2/23/15,0,2,27,0.519230769,0:30:15,0:03:20,0:03:20,0:00:00,0.110192837,0.110192837,0,12,2,3,7,7,1.714285714,0.285714286,0.428571429,1,0:00:00,0,0:00:07,0.003856749
0G8,67,2/5/15,1276.981132,2/5/15,0,2,27,0.519230769,0:30:04,0:00:00,0:00:00,0:00:00,0,0,0,7,1,0,6,7,1,0.142857143,0,0.857142857,0:00:00,0,0:00:06,0.003325942
0G8,190,3/18/15,941.5384615,3/16/15,2,3,27,0.519230769,0:30:18,0:00:00,0:00:00,0:00:00,0,0,0,10,4,4,2,7,1.428571429,0.571428571,0.571428571,0.285714286,0:00:00,0,0:00:06,0.00330033
0G8,211,3/24/15,792.6688964,3/23/15,1,3,27,0.519230769,0:30:17,0:00:00,0:00:00,0:00:00,0,0,0,6,3,0,3,6,1,0.5,0,0.5,0:00:00,0,0:00:00,0
0G8,152,3/6/15,1113.962264,3/4/15,2,3,27,0.519230769,1:30:49,0:00:51,0:00:51,0:00:00,0.009359516,0.009359516,0,51,10,8,33,21,2.428571429,0.476190476,0.380952381,1.571428571,0:00:00,0,0:00:00,0
0G8,156,3/9/15,1204.363636,3/9/15,0,3,27,0.519230769,0:30:53,0:00:00,0:00:00,0:00:00,0,0,0,29,9,4,16,7,4.142857143,1.285714286,0.571428571,2.285714286,0:00:00,0,0:00:00,0
0J0,38,1/26/15,950.5882353,1/26/15,0,1,20,0.384615385,1:01:45,0:05:51,0:05:51,0:00:00,0.094736842,0.094736842,0,47,13,11,22,14,3.357142857,0.928571429,0.785714286,1.571428571,0:00:00,0,0:00:00,0
0J0,52,1/30/15,1302.857143,1/29/15,1,1,20,0.384615385,0:30:53,0:04:52,0:04:52,0:00:00,0.157582299,0.157582299,0,7,4,2,1,7,1,0.571428571,0.285714286,0.142857143,0:00:00,0,0:00:00,0
0J0,111,2/20/15,1223.529412,2/17/15,3,2,20,0.384615385,0:20:54,0:00:00,0:00:00,0:00:00,0,0,0,2,0,0,2,4,0.5,0,0,0.5,0:00:00,0,0:00:00,0
0J0,116,2/23/15,1075.555556,2/23/15,0,2,20,0.384615385,0:56:19,0:06:00,0:05:54,0:00:06,0.106540397,0.104764723,0.001775673,51,20,2,29,13,3.923076923,1.538461538,0.153846154,2.230769231,0:00:00,0,0:00:06,0.001775673
0J0,73,2/6/15,2017.5,2/4/15,2,2,20,0.384615385,0:30:11,0:10:17,0:09:14,0:01:03,0.340695748,0.305908338,0.03478741,15,5,0,10,7,2.142857143,0.714285714,0,1.428571429,0:00:00,0,0:00:03,0.001656543
0J0,76,2/9/15,1432.615385,2/9/15,0,2,20,0.384615385,0:30:17,0:03:21,0:03:21,0:00:00,0.110621904,0.110621904,0,13,4,0,9,6,2.166666667,0.666666667,0,1.5,0:00:00,0,0:00:00,0
0J0,200,3/20/15,1000.677966,3/18/15,2,3,20,0.384615385,0:30:23,0:08:52,0:08:52,0:00:00,0.291826659,0.291826659,0,21,7,0,14,7,3,1,0,2,0:00:00,0,0:00:00,0
0J0,141,3/2/15,1285.714286,3/2/15,0,3,20,0.384615385,0:30:11,0:14:00,0:14:00,0:00:00,0.463832137,0.463832137,0,31,9,3,19,7,4.428571429,1.285714286,0.428571429,2.714285714,0:00:00,0,0:00:00,0
0J0,219,3/27/15,1054.285714,3/25/15,2,3,20,0.384615385,0:29:55,0:05:52,0:05:52,0:00:00,0.196100279,0.196100279,0,15,3,3,9,6,2.5,0.5,0.5,1.5,0:00:00,0,0:00:00,0
0J0,231,4/1/15,598.0327869,3/30/15,2,3,20,0.384615385,0:30:13,0:01:13,0:01:13,0:00:00,0.040264755,0.040264755,0,13,4,2,7,7,1.857142857,0.571428571,0.285714286,1,0:00:00,0,0:00:00,0
0J0,168,3/11/15,1099.636364,3/9/15,2,3,20,0.384615385,0:30:30,0:00:00,0:00:00,0:00:00,0,0,0,15,1,2,12,7,2.142857143,0.142857143,0.285714286,1.714285714,0:00:00,0,0:00:00,0
0J1,42,1/26/15,560,1/23/15,3,1,18,0.346153846,0:30:36,0:00:00,0:00:00,0:00:00,0,0,0,20,3,3,14,7,2.857142857,0.428571429,0.428571429,2,0:00:00,0,0:00:00,0
0J1,92,2/17/15,800,2/16/15,1,2,18,0.346153846,1:00:34,0:07:27,0:07:27,0:00:00,0.123004953,0.123004953,0,41,14,4,23,14,2.928571429,1,0.285714286,1.642857143,0:00:00,0,0:00:36,0.009906439
0J1,64,2/4/15,518.7096774,2/2/15,2,2,18,0.346153846,0:30:25,0:00:00,0:00:00,0:00:00,0,0,0,20,3,5,12,7,2.857142857,0.428571429,0.714285714,1.714285714,0:00:00,0,0:00:00,0
0J1,75,2/9/15,600,2/9/15,0,2,18,0.346153846,0:30:15,0:11:19,0:11:19,0:00:00,0.374104683,0.374104683,0,29,9,2,18,7,4.142857143,1.285714286,0.285714286,2.571428571,0:00:00,0,0:00:00,0
0J1,177,3/16/15,367.0588235,3/16/15,0,3,18,0.346153846,1:01:03,0:00:00,0:00:00,0:00:00,0,0,0,168,54,14,100,12,14,4.5,1.166666667,8.333333333,0:00:00,0,0:00:00,0
0J1,205,3/23/15,600,3/23/15,0,3,18,0.346153846,1:02:19,0:18:14,0:02:20,0:15:54,0.292591602,0.037443167,0.255148435,68,29,8,31,14,4.857142857,2.071428571,0.571428571,2.214285714,0:00:00,0,0:00:06,0.001604707
0J1,147,3/4/15,673.8461538,3/3/15,1,3,18,0.346153846,0:32:16,0:04:18,0:00:00,0:04:18,0.133264463,0,0.133264463,24,6,2,16,7,3.428571429,0.857142857,0.285714286,2.285714286,0:11:37,0.360021,0:00:46,0.023760331
0J1,227,3/31/15,620.3076923,3/30/15,1,3,18,0.346153846,0:30:37,0:02:53,0:00:00,0:02:53,0.094175286,0,0.094175286,27,11,2,14,7,3.857142857,1.571428571,0.285714286,2,0:00:00,0,0:00:00,0
0J1,172,3/11/15,1028.571429,3/9/15,2,3,18,0.346153846,0:30:16,0:00:00,0:00:00,0:00:00,0,0,0,56,10,9,37,7,8,1.428571429,1.285714286,5.285714286,0:00:00,0,0:00:44,0.024229075
0J8,86,2/10/15,535.3846154,2/10/15,0,2,32,0.615384615,0:29:55,0:00:00,0:00:00,0:00:00,0,0,0,17,2,2,13,7,2.428571429,0.285714286,0.285714286,1.857142857,0:00:00,0,0:00:00,0
0J8,108,2/19/15,232.9411765,2/18/15,1,2,32,0.615384615,0:31:14,0:07:38,0:05:10,0:02:28,0.244397012,0.165421558,0.078975454,18,0,9,8,7,2.571428571,0,1.285714286,1.142857143,0:00:00,0,0:00:11,0.005869797
0J8,120,2/24/15,358.2089552,2/24/15,0,2,32,0.615384615,0:22:45,0:00:00,0:00:00,0:00:00,0,0,0,0,0,0,0,5,0,0,0,0,0:00:00,0,0:00:00,0
0J8,176,3/12/15,508.2352941,3/12/15,0,3,32,0.615384615,1:31:11,0:30:22,0:19:25,0:10:57,0.333028697,0.212940961,0.120087735,39,2,5,32,21,1.857142857,0.095238095,0.238095238,1.523809524,0:54:35,0.598611,0:02:43,0.029793456
0J8,192,3/18/15,335.3424658,3/17/15,1,3,32,0.615384615,0:30:07,0:00:00,0:00:00,0:00:00,0,0,0,1,0,0,1,7,0.142857143,0,0,0.142857143,0:00:00,0,0:00:00,0
0J8,220,3/27/15,516.9230769,3/24/15,3,3,32,0.615384615,0:30:05,0:00:00,0:00:00,0:00:00,0,0,0,1,0,1,0,7,0.142857143,0,0.142857143,0,0:00:00,0,0:00:00,0
1E5,24,1/20/15,211.7647059,1/20/15,0,1,25,0.480769231,0:45:10,0:00:00,0:00:00,0:00:00,0,0,0,6,4,0,1,10,0.6,0.4,0,0.1,0:00:00,0,0:00:00,0
1E5,40,1/26/15,497.4545455,1/26/15,0,1,25,0.480769231,0:30:16,0:00:00,0:00:00,0:00:00,0,0,0,7,0,2,5,7,1,0,0.285714286,0.714285714,0:00:00,0,0:00:00,0
1E5,49,1/28/15,1028.571429,1/28/15,0,1,25,0.480769231,1:00:26,0:08:22,0:04:34,0:03:48,0.138444567,0.075565361,0.062879206,9,1,0,3,14,0.642857143,0.071428571,0,0.214285714,0:00:00,0,0:00:00,0
1E5,98,2/17/15,1080,2/17/15,0,2,25,0.480769231,1:00:36,0:00:00,0:00:00,0:00:00,0,0,0,6,1,1,4,14,0.428571429,0.071428571,0.071428571,0.285714286,0:00:00,0,0:00:00,0
1E5,103,2/18/15,584.7272727,2/18/15,0,2,25,0.480769231,0:30:27,0:00:00,0:00:00,0:00:00,0,0,0,10,1,1,8,6,1.666666667,0.166666667,0.166666667,1.333333333,0:00:00,0,0:00:00,0
1E5,131,2/26/15,320,2/26/15,0,2,25,0.480769231,0:25:29,0:00:00,0:00:00,0:00:00,0,0,0,7,2,3,2,6,1.166666667,0.333333333,0.5,0.333333333,0:00:00,0,0:00:00,0
1E5,62,2/3/15,2393.239437,2/3/15,0,2,25,0.480769231,0:29:49,0:00:00,0:00:00,0:00:00,0,0,0,1,0,0,1,6,0.166666667,0,0,0.166666667,0:00:00,0,0:00:00,0
1E5,81,2/10/15,590.1639344,2/9/15,1,2,25,0.480769231,0:30:26,0:14:03,0:14:01,0:00:02,0.461664841,0.460569551,0.00109529,5,3,0,2,7,0.714285714,0.428571429,0,0.285714286,0:16:59,0.55805,0:00:00,0
1E5,175,3/12/15,661.6216216,3/12/15,0,3,25,0.480769231,0:30:15,0:00:00,0:00:00,0:00:00,0,0,0,0,0,0,0,7,0,0,0,0,0:00:00,0,0:00:00,0
1E5,195,3/18/15,366.1016949,3/18/15,0,3,25,0.480769231,0:30:34,0:01:43,0:01:43,0:00:00,0.056161396,0.056161396,0,10,2,2,6,7,1.428571429,0.285714286,0.285714286,0.857142857,0:00:00,0,0:00:00,0
1E5,137,3/2/15,637.2413793,3/2/15,0,3,25,0.480769231,0:29:33,0:00:00,0:00:00,0:00:00,0,0,0,2,0,0,2,7,0.285714286,0,0,0.285714286,0:00:00,0,0:00:00,0
2J9,84,2/10/15,471.7241379,2/10/15,0,2,29,0.557692308,0:30:58,0:00:00,0:00:00,0:00:00,0,0,0,50,14,4,32,7,7.142857143,2,0.571428571,4.571428571,0:00:00,0,0:00:00,0
2J9,104,2/18/15,435.2109777,2/16/15,2,2,29,0.557692308,0:32:18,0:13:25,0:07:53,0:05:32,0.415376677,0.244066047,0.17131063,6,1,2,3,7,0.857142857,0.142857143,0.285714286,0.428571429,0:00:00,0,0:00:00,0
2J9,113,2/20/15,867.6923077,2/20/15,0,2,29,0.557692308,1:00:38,0:01:52,0:00:00,0:01:52,0.030786146,0,0.030786146,50,17,6,26,14,3.571428571,1.214285714,0.428571429,1.857142857,0:00:00,0,0:00:00,0
2J9,117,2/23/15,1542.857143,2/23/15,0,2,29,0.557692308,1:00:45,0:00:00,0:00:00,0:00:00,0,0,0,36,12,5,19,14,2.571428571,0.857142857,0.357142857,1.357142857,0:00:00,0,0:00:00,0
2J9,166,3/10/15,618.9473684,3/10/15,0,3,29,0.557692308,0:30:24,0:00:00,0:00:00,0:00:00,0,0,0,10,4,1,5,7,1.428571429,0.571428571,0.142857143,0.714285714,0:00:00,0,0:00:00,0
2J9,184,3/16/15,1251.428571,3/16/15,0,3,29,0.557692308,1:00:41,0:15:00,0:13:05,0:01:55,0.247184839,0.21560011,0.031584729,36,14,4,18,14,2.571428571,1,0.285714286,1.285714286,0:00:00,0,0:00:00,0
2J9,202,3/23/15,277.8947368,3/20/15,3,3,29,0.557692308,0:31:12,0:07:43,0:07:43,0:00:00,0.24732906,0.24732906,0,92,28,10,54,7,13.14285714,4,1.428571429,7.714285714,0:00:00,0,0:00:00,0
2J9,230,3/31/15,664,3/31/15,0,3,29,0.557692308,0:30:05,0:00:50,0:00:50,0:00:00,0.027700831,0.027700831,0,9,1,0,8,7,1.285714286,0.142857143,0,1.142857143,0:00:00,0,0:00:00,0
2J9,153,3/6/15,1534.117647,3/6/15,0,3,29,0.557692308,1:01:08,0:19:06,0:18:06,0:01:00,0.312431843,0.296074155,0.016357688,51,21,6,24,14,3.642857143,1.5,0.428571429,1.714285714,0:11:01,0.180207,0:00:00,0
3I2,94,2/17/15,572.3076923,2/17/15,0,2,14,0.269230769,0:44:11,0:00:02,0:00:00,0:00:02,0.000754432,0,0.000754432,36,16,7,13,9,4,1.777777778,0.777777778,1.444444444,0:00:00,0,0:00:41,0.015465862
3I2,66,2/4/15,555.2941176,2/2/15,2,2,14,0.269230769,0:30:43,0:00:02,0:00:02,0:00:00,0.001085187,0.001085187,0,18,7,2,9,7,2.571428571,1,0.285714286,1.285714286,0:00:00,0,0:00:00,0
3I2,130,2/26/15,892.8,2/24/15,2,2,14,0.269230769,0:30:22,0:03:37,0:03:37,0:00:00,0.11909989,0.11909989,0,15,1,2,12,7,2.142857143,0.142857143,0.285714286,1.714285714,0:00:00,0,0:00:51,0.027991218
3I2,77,2/9/15,884.6783626,2/9/15,0,2,14,0.269230769,0:35:52,0:01:31,0:01:31,0:00:00,0.042286245,0.042286245,0,19,4,0,15,6,3.166666667,0.666666667,0,2.5,0:00:00,0,0:00:00,0
3I2,178,3/16/15,1017.931034,3/13/15,3,3,14,0.269230769,0:30:31,0:07:23,0:07:23,0:00:00,0.241944293,0.241944293,0,77,25,5,47,7,11,3.571428571,0.714285714,6.714285714,0:28:22,0.929546696,0:00:09,0.004915347
3I2,206,3/23/15,432,3/23/15,0,3,14,0.269230769,0:30:00,0:00:00,0:00:00,0:00:00,0,0,0,51,21,7,21,5,10.2,4.2,1.4,4.2,0:00:00,0,0:00:00,0
3I2,214,3/24/15,852.4137931,3/24/15,0,3,14,0.269230769,0:29:53,0:15:59,0:15:20,0:00:39,0.53485778,0.513106525,0.021751255,43,8,3,32,8,5.375,1,0.375,4,0:00:00,0,0:00:00,0
3I2,229,3/31/15,536.4705882,3/31/15,0,3,14,0.269230769,0:30:08,0:20:37,0:03:14,0:17:23,0.684181416,0.107300885,0.576880531,10,6,2,2,7,1.428571429,0.857142857,0.285714286,0.285714286,0:00:00,0,0:00:19,0.01050885
3I2,154,3/6/15,581.0526316,3/4/15,2,3,14,0.269230769,0:30:56,0:11:36,0:11:36,0:00:00,0.375,0.375,0,45,20,11,14,7,6.428571429,2.857142857,1.571428571,2,0:00:00,0,0:00:00,0
3I2,163,3/9/15,452.3076923,3/9/15,0,3,14,0.269230769,0:20:51,0:00:00,0:00:00,0:00:00,0,0,0,19,6,4,9,5,3.8,1.2,0.8,1.8,0:00:00,0,0:00:00,0
3I3,23,1/20/15,299.1304348,1/16/15,4,1,12,0.230769231,0:45:38,0:12:34,0:12:34,0:00:00,0.275383492,0.275383492,0,26,6,5,15,10,2.6,0.6,0.5,1.5,0:00:00,0,0:00:00,0
3I3,37,1/26/15,655.3846154,1/26/15,0,1,12,0.230769231,0:32:10,0:00:00,0:00:00,0:00:00,0,0,0,19,6,0,13,7,2.714285714,0.857142857,0,1.857142857,0:00:00,0,0:01:27,0.04507772
3I3,101,2/17/15,907.6363636,2/17/15,0,2,12,0.230769231,0:30:53,0:00:13,0:00:13,0:00:00,0.00701565,0.00701565,0,33,17,0,16,7,4.714285714,2.428571429,0,2.285714286,0:00:00,0,0:00:12,0.006475985
3I3,123,2/24/15,748.8,2/23/15,1,2,12,0.230769231,0:31:01,0:05:47,0:05:47,0:00:00,0.186458893,0.186458893,0,20,13,0,7,7,2.857142857,1.857142857,0,1,0:00:00,0,0:00:54,0.029016658
3I3,70,2/5/15,677.1428571,2/5/15,0,2,12,0.230769231,0:30:12,0:02:56,0:02:06,0:00:50,0.097130243,0.069536424,0.027593819,23,9,5,9,7,3.285714286,1.285714286,0.714285714,1.285714286,0:00:00,0,0:02:18,0.07615894
3I3,79,2/9/15,751.3043478,2/9/15,0,2,12,0.230769231,1:01:39,0:18:10,0:17:23,0:00:47,0.294674236,0.281968099,0.012706137,43,16,6,21,13,3.307692308,1.230769231,0.461538462,1.615384615,0:00:00,0,0:00:02,0.000540687
3I3,187,3/17/15,663.2727273,3/17/15,0,3,12,0.230769231,1:34:46,0:33:27,0:22:54,0:10:33,0.352972212,0.241646148,0.111326064,116,41,21,54,19,6.105263158,2.157894737,1.105263158,2.842105263,1:01:50,0.65248,0:00:46,0.008090046
3I3,221,3/27/15,1416.774194,3/25/15,2,3,12,0.230769231,0:30:13,0:00:00,0:00:00,0:00:00,0,0,0,32,13,13,6,7,4.571428571,1.857142857,1.857142857,0.857142857,0:00:00,0,0:00:00,0
3I3,143,3/3/15,790.5882353,3/3/15,0,3,12,0.230769231,1:00:40,0:00:00,0:00:00,0:00:00,0,0,0,33,17,6,10,14,2.357142857,1.214285714,0.428571429,0.714285714,0:16:48,0.276923,0:00:27,0.007417582
3I3,167,3/10/15,686.8965517,3/9/15,1,3,12,0.230769231,0:30:16,0:23:58,0:23:58,0:00:00,0.79185022,0.79185022,0,37,15,0,22,7,5.285714286,2.142857143,0,3.142857143,0:00:00,0,0:00:00,0
3I5,31,1/21/15,838.0952381,1/19/15,2,1,13,0.25,0:45:49,0:09:05,0:03:13,0:05:52,0.198253911,0.070207348,0.128046562,11,11,0,0,10,1.1,1.1,0,0,0:00:00,0,0:03:45,0.081847945
3I5,50,1/29/15,735.483871,1/26/15,3,1,13,0.25,0:30:35,0:08:40,0:07:28,0:01:12,0.283378747,0.244141689,0.039237057,53,18,11,24,7,7.571428571,2.571428571,1.571428571,3.428571429,0:00:00,0,0:00:00,0
3I5,132,2/27/15,642.5806452,2/25/15,2,2,13,0.25,0:29:00,0:00:00,0:00:00,0:00:00,0,0,0,4,2,0,2,7,0.571428571,0.285714286,0,0.285714286,0:00:00,0,0:00:00,0
3I5,65,2/4/15,771.7647059,2/3/15,1,2,13,0.25,0:29:56,0:00:00,0:00:00,0:00:00,0,0,0,35,5,3,27,7,5,0.714285714,0.428571429,3.857142857,0:00:00,0,0:00:00,0
3I5,180,3/16/15,486.8571429,3/16/15,0,3,13,0.25,1:00:34,0:05:33,0:05:33,0:00:00,0.091634562,0.091634562,0,62,15,16,31,14,4.428571429,1.071428571,1.142857143,2.214285714,0:00:00,0,0:00:00,0
