"","IDDate","SampleNo","Animal.ID","Date","Month","Time","Initials","Assay.date","ul.sample","ul.buffer","NEO.Dilution.factor","NEO.Result..nmol.L.","NEO.DF","Creatinine..mg.ml.","CR.Dilution.factor","CR.DF","NEO.CR","RelRank"
"162","4I842079",211,"4I8",2015-03-16,3,"7:50 AM","LR","12/6/16",10,390,40,14.289,571.56,0.056,10,0.56,258.42677,0.307692308
"163","5B242080",212,"5B2",2015-03-17,3,"7:20 AM","LR","10/27/16",10,190,20,34.003,680.06,0.097,10,0.97,177.51669,0.153846154
"164","3I542080",213,"3I5",2015-03-17,3,"12:18 PM","LR","10/27/16",10,190,20,45.282,905.64,0.074,10,0.74,309.87574,0.25
"165","3I342080",214,"3I3",2015-03-17,3,"8:50 AM","LR","10/27/16",10,190,20,13.865,277.3,0.047,10,0.47,149.388,0.230769231
"166","9F942080",215,"9F9",2015-03-17,3,"10:00 AM","LR","10/27/16",10,190,20,6.358,127.16,0.012,10,0.12,268.3076,0.403846154
"167","9F942080",216,"9F9",2015-03-17,3,"1:50 PM","CR","10/27/16",10,190,20,66.409,1328.18,0.103,10,1.03,326.50017,0.403846154
"168","0G842081",217,"0G8",2015-03-18,3,"9:30 AM","LR","12/16/16",10,390,40,27.604,1104.16,0.051,40,2.04,137.04574,0.519230769
"169","0G842081",218,"0G8",2015-03-18,3,"10:50 AM","LR","12/16/16",5,195,40,27.568,1102.72,0.177,10,1.77,157.74503,0.519230769
"170","8B542081",219,"8B5",2015-03-18,3,"8:57 AM","CR","12/6/16",10,390,40,29.019,1160.76,0.158,10,1.58,186.01546,0.423076923
"171","6I142081",220,"6I1",2015-03-18,3,"9:15 AM","CR","12/6/16",10,190,20,5.025,100.5,0.014,10,0.14,181.76143,0.365384615
"172","1E542081",221,"1E5",2015-03-18,3,"10:11 AM","CR","10/27/16",10,190,20,19.539,390.78,0.068,10,0.68,145.50808,0.480769231
"173","5B242081",222,"5B2",2015-03-18,3,"12:00 PM","CR","12/6/16",5,95,20,7.689,153.78,0.016,10,0.16,243.35685,0.153846154
"174","6H242081",224,"6H2",2015-03-18,3,"8:40 AM","LR","10/28/16",10,190,20,8.16,163.2,0.037,10,0.37,111.68173,0.326923077
"175","6I142082",225,"6I1",2015-03-19,3,"9:23 AM","JH","10/28/16",10,190,20,6.871,137.42,0.016,10,0.16,217.46715,0.365384615
"176","3I542082",226,"3I5",2015-03-19,3,"9:40 AM","CR","12/6/16",5,395,80,17.84,1427.2,0.122,10,1.22,296.20249,0.25
"177","6I242082",227,"6I2",2015-03-19,3,"12:48 PM","CR","10/28/16",10,190,20,51.266,1025.32,0.085,10,0.85,305.42473,0.634615385
"178","5B242082",228,"5B2",2015-03-19,3,"9:32 AM","LR","10/28/16",10,190,20,8.385,167.7,0.026,10,0.26,163.314,0.153846154
"179","0J042082",229,"0J0",2015-03-19,3,"8:32 AM","JH","12/6/16",5,95,20,16.833,336.66,0.065,10,0.65,131.14202,0.384615385
"180","8B542082",230,"8B5",2015-03-19,3,"9:59 AM","LR","10/28/16",10,190,20,4.645,92.9,0.006,10,0.06,392.038,0.423076923
"181","0J042083",231,"0J0",2015-03-20,3,"9:41 AM","LR","12/6/16",10,190,20,4.613,92.26,0.009,10,0.09,259.55813,0.384615385
"182","2J942083",233,"2J9",2015-03-20,3,"7:47 AM","CR","10/28/16",5,95,20,26.9,538,0.076,10,0.76,179.23895,0.557692308
"183","2J942086",236,"2J9",2015-03-23,3,"8:53 AM","CR","12/6/16",10,190,20,66.083,1321.66,0.15,10,1.5,223.09621,0.557692308
"184","8B542086",237,"8B5",2015-03-23,3,"10:36 AM","CR","12/6/16",10,190,20,15.932,318.64,0.027,10,0.27,298.81351,0.423076923
"185","9F942086",238,"9F9",2015-03-23,3,"10:25 AM","CR","12/6/16",10,190,20,7.696,153.92,0.022,10,0.22,177.14793,0.403846154
"186","0J142086",239,"0J1",2015-03-23,3,"12:09 PM","CR","12/6/16",10,190,20,15.442,308.84,0.017,10,0.17,459.98993,0.346153846
"187","5B242086",240,"5B2",2015-03-23,3,"12:45 PM","CR","12/6/16",5,95,20,13.334,266.68,0.049,10,0.49,137.80281,0.153846154
"188","3I242086",242,"3I2",2015-03-23,3,"8:38 AM","LR","12/16/16",10,90,10,8.855,88.55,0.021,10,0.21,106.766,0.269230769
"189","0J142086",243,"0J1",2015-03-23,3,"9:40 AM","LR","12/6/16",10,190,20,6.98,139.6,0.014,10,0.14,252.47657,0.346153846
"190","6H242086",245,"6H2",2015-03-23,3,"1:15 PM","LR","12/6/16",10,190,20,42.214,844.28,0.06,10,0.6,356.28616,0.326923077
"191","0J042087",246,"0J0",2015-03-24,3,"7:42 AM","CR","12/6/16",5,95,20,34.445,688.9,0.143,10,1.43,121.97866,0.384615385
"192","0G842087",247,"0G8",2015-03-24,3,"9:33 AM","CR","12/16/16",10,190,20,48.768,975.36,0.185,10,1.85,133.49251,0.519230769
"193","8D642087",248,"8D6",2015-03-24,3,"10:00 AM","CR","12/6/16",10,190,20,36.867,737.34,0.028,10,0.28,666.76603,0.461538462
"194","1E542087",249,"1E5",2015-03-24,3,"10:29 AM","CR","12/6/16",5,395,80,17.349,1387.92,0.098,10,0.98,358.59321,0.480769231
"195","8B542087",251,"8B5",2015-03-24,3,"1:57 PM","LR","12/8/16",10,190,20,28.939,578.78,0.038,10,0.38,385.65025,0.423076923
"196","3I242087",252,"3I2",2015-03-24,3,"1:53 PM","CR","12/8/16",10,190,20,20.463,409.26,0.07,10,0.7,148.03519,0.269230769
"197","8D642088",253,"8D6",2015-03-25,3,"11:03 AM","LR","12/16/16",10,790,80,22.964,1837.12,0.049,10,0.49,949.30364,0.461538462
"198","6I142089",256,"6I1",2015-03-26,3,"8:41 AM","CR","12/8/16",5,95,20,17.479,349.58,0.064,10,0.64,138.30259,0.365384615
"199","8D642089",258,"8D6",2015-03-26,3,"1:38 PM","CR","12/8/16",10,190,20,17.936,358.72,0.015,10,0.15,605.51936,0.461538462
"200","5B242090",259,"5B2",2015-03-27,3,"10:03 AM","CR","12/8/16",5,95,20,5.63,112.6,0.017,10,0.17,167.70776,0.153846154
"201","6H242090",261,"6H2",2015-03-27,3,"12:15 PM","CR","12/8/16",5,95,20,4.618,92.36,0.009,10,0.09,259.83947,0.326923077
"202","3I542091",262,"3I5",2015-03-28,3,"9:56 AM","CR","2/15/17",10,190,20,16.348,326.96,0.031,10,0.31,267.05249,0.25
"203","4I842091",263,"4I8",2015-03-28,3,"11:17 AM","CR","12/8/16",10,190,20,17.107,342.14,0.026,10,0.26,333.19172,0.307692308
"204","6I242091",264,"6I2",2015-03-28,3,"12:36 PM","CR","10/28/16",5,95,20,45.259,905.18,0.08,10,0.8,286.48947,0.634615385
"205","0J842091",265,"0J8",2015-03-28,3,"1:30 PM","CR","12/8/16",10,390,40,21.586,863.44,0.156,10,1.56,140.14295,0.615384615
"206","5B242093",266,"5B2",2015-03-30,3,"11:42 AM","LR","10/28/16",10,190,20,11.011,220.22,0.017,10,0.17,327.99826,0.153846154
"207","6H242093",268,"6H2",2015-03-30,3,"1:09 PM","LR","10/28/16",10,190,20,12.065,241.3,0.022,10,0.22,277.71436,0.326923077
"208","0J142093",269,"0J1",2015-03-30,3,"11:16 AM","LR","10/28/16",10,190,20,11.938,238.76,0.013,10,0.13,465.03102,0.346153846
"209","0J042093",270,"0J0",2015-03-30,3,"1:16 PM","LR","10/28/16",10,190,20,46.941,938.82,0.095,10,0.95,250.22024,0.384615385
"210","6I142095",272,"6I1",2015-04-01,4,"9:38 AM","CR","10/28/16",10,190,20,16.409,328.18,0.012,10,0.12,692.4598,0.365384615
"211","3I342095",273,"3I3",2015-04-01,4,"9:15 AM","JH","12/8/16",10,390,40,25.02,1000.8,0.146,10,1.46,173.5634,0.230769231
"212","0G842095",274,"0G8",2015-04-01,4,"8:46 AM","CR","10/28/16",10,190,20,36.336,726.72,0.152,10,1.52,121.05625,0.519230769
"213","5B242095",275,"5B2",2015-04-01,4,"10:00 AM","CR","10/28/16",10,190,20,14.07,281.4,0.035,10,0.35,203.5728,0.153846154
"214","3I242095",276,"3I2",2015-04-01,4,"11:04 AM","CR","10/28/16",10,190,20,4.031,80.62,0.014,10,0.14,145.80703,0.269230769
"215","9F942095",277,"9F9",2015-04-01,4,"12:00 PM","CR","10/28/16",10,190,20,65.901,1318.02,0.053,10,0.53,629.6654,0.403846154
"216","8D642095",278,"8D6",2015-04-01,4,"12:19 PM","CR","10/28/16",10,190,20,22.379,447.58,0.027,10,0.27,419.73058,0.461538462
"217","6H242095",279,"6H2",2015-04-01,4,"12:55 PM","CR","10/28/16",10,190,20,11.621,232.42,0.013,10,0.13,452.68265,0.326923077
"218","6H242095",280,"6H2",2015-04-01,4,"1:14 PM","CR","10/28/16",10,190,20,9.423,188.46,0.011,10,0.11,433.80065,0.326923077
"219","2J942095",281,"2J9",2015-04-01,4,"1:34 PM","CR","12/8/16",10,790,80,24.863,1989.04,0.133,10,1.33,378.66536,0.557692308
"220","6I242096",282,"6I2",2015-04-02,4,"7:39 AM","CR","10/28/16",10,190,20,22.078,441.56,0.066,10,0.66,169.39847,0.634615385
"221","6I142096",283,"6I1",2015-04-02,4,"11:02 AM","CR","10/28/16",10,190,20,7.791,155.82,0.015,10,0.15,263.02416,0.365384615
"222","8B542096",284,"8B5",2015-04-02,4,"12:02 PM","CR","12/8/16",5,95,20,11.403,228.06,0.022,10,0.22,262.47633,0.423076923
"223","3I242096",285,"3I2",2015-04-02,4,"10:03 AM","CR","10/28/16",10,190,20,4.102,82.04,0.012,10,0.12,173.1044,0.269230769
"224","8D642096",286,"8D6",2015-04-02,4,"7:37 AM","LR","10/28/16",10,190,20,40.968,819.36,0.055,10,0.55,377.20355,0.461538462
"225","6H242096",287,"6H2",2015-04-02,4,"9:17 AM","LR","10/28/16",10,190,20,7.902,158.04,0.01,10,0.1,400.15728,0.326923077
"226","5G242097",288,"5G2",2015-04-03,4,"9:01 AM","CR","10/28/16",10,190,20,22.997,459.94,0.096,10,0.96,121.30918,0.596153846
"227","0J142097",289,"0J1",2015-04-03,4,"9:34 AM","CR","10/28/16",10,190,20,14.004,280.08,0.012,10,0.12,590.9688,0.346153846
"228","3I242100",290,"3I2",2015-04-06,4,"8:33 AM","CR","10/28/16",10,190,20,6.681,133.62,0.01,10,0.1,338.32584,0.269230769
"229","5G242100",291,"5G2",2015-04-06,4,"9:13 AM","CR","10/28/16",10,190,20,6.989,139.78,0.015,10,0.15,235.94864,0.596153846
"230","9F942100",292,"9F9",2015-04-06,4,"10:11 AM","CR","10/28/16",10,190,20,10.5,210,0.011,10,0.11,483.38182,0.403846154
"231","0J042100",293,"0J0",2015-04-06,4,"10:43 AM","CR","10/28/16",10,190,20,8.769,175.38,0.01,10,0.1,444.06216,0.384615385
"232","0J042100",294,"0J0",2015-04-06,4,"1:47 PM","LR","10/28/16",10,190,20,66.137,1322.74,0.081,10,0.81,413.47873,0.384615385
"233","3I542100",295,"3I5",2015-04-06,4,"1:35 PM","CR","12/8/16",10,790,80,30.546,2443.68,0.101,10,1.01,612.61364,0.25
"234","6H242100",296,"6H2",2015-04-06,4,"8:47 AM","LR","10/28/16",10,190,20,11.444,228.88,0.01,10,0.1,579.52416,0.326923077
"235","6I142100",297,"6I1",2015-04-06,4,"10:55 AM","LR","10/28/16",10,190,20,5.934,118.68,0.011,10,0.11,273.17978,0.365384615
"236","8B542100",298,"8B5",2015-04-06,4,"8:15 AM","LR","10/28/16",10,190,20,13.027,260.54,0.018,10,0.18,366.49293,0.423076923
"237","1E542100",299,"1E5",2015-04-06,4,"9:31 AM","LR","10/28/16",5,95,20,6.595,131.9,0.013,10,0.13,256.90062,0.480769231
"238","5G242101",300,"5G2",2015-04-07,4,"1:00 PM","LR","12/8/16",10,390,40,30.171,1206.84,0.133,10,1.33,229.7533,0.596153846
"239","0J142101",301,"0J1",2015-04-07,4,"7:52 AM","LR","10/28/16",10,190,20,24.934,498.68,0.042,10,0.42,300.6328,0.346153846
"240","0J142101",302,"0J1",2015-04-07,4,"8:10 AM","LR","10/28/16",10,190,20,13.161,263.22,0.016,10,0.16,416.54565,0.346153846
"241","3I342101",303,"3I3",2015-04-07,4,"9:07 AM","LR","10/28/16",10,190,20,9.018,180.36,0.013,10,0.13,351.28578,0.230769231
"242","3I242101",304,"3I2",2015-04-07,4,"9:00 AM","LR","11/8/16",10,190,20,11.206,224.12,0.04,10,0.4,141.86796,0.269230769
"243","0J042101",306,"0J0",2015-04-07,4,"8:11 AM","CR","12/8/16",10,90,10,10.182,101.82,0.01,10,0.1,257.80824,0.384615385
"244","4I842101",308,"4I8",2015-04-07,4,"9:37 AM","CR","12/8/16",5,95,20,22.608,452.16,0.032,10,0.32,357.7716,0.307692308
"245","1E542101",309,"1E5",2015-04-07,4,"9:19 AM","CR","11/8/16",10,190,20,98.025,1960.5,0.063,40,2.52,196.98357,0.480769231
"246","0G842102",310,"0G8",2015-04-08,4,"7:50 AM","CR","11/8/16",10,190,20,38.306,766.12,0.134,10,1.34,144.76238,0.519230769
"247","3I542102",311,"3I5",2015-04-08,4,"9:15 AM","CR","12/8/16",10,90,10,14.107,141.07,0.011,10,0.11,324.71749,0.25
"248","3I542102",312,"3I5",2015-04-08,4,"9:37 AM","CR","11/8/16",10,190,20,21.191,423.82,0.015,10,0.15,715.40816,0.25
"249","5B242102",313,"5B2",2015-04-08,4,"7:55 AM","JH","11/8/16",10,190,20,40.271,805.42,0.088,10,0.88,231.7413,0.153846154
"250","5B242102",314,"5B2",2015-04-08,4,"1:00 PM","LR","12/16/16",10,190,20,20.793,415.86,0.048,10,0.48,219.36615,0.153846154
"251","0J842102",316,"0J8",2015-04-08,4,"9:55 AM","LR","11/8/16",10,190,20,52.364,1047.28,0.054,40,2.16,122.76449,0.615384615
"252","8D642103",317,"8D6",2015-04-09,4,"12:48 PM","LR","12/8/16",5,95,20,11.283,225.66,0.023,10,0.23,248.42223,0.461538462
"253","2J942103",318,"2J9",2015-04-09,4,"7:34 AM","LR","11/8/16",10,190,20,25.223,504.46,0.056,10,0.56,228.08799,0.557692308
"254","2J942103",320,"2J9",2015-04-09,4,"12:58 PM","CR","12/8/16",10,190,20,65.891,1317.82,0.093,10,0.93,358.78712,0.557692308
"255","5G242103",321,"5G2",2015-04-09,4,"1:29 PM","CR","11/8/16",10,190,20,48.317,966.34,0.112,10,1.12,218.46186,0.596153846
"256","3I242103",322,"3I2",2015-04-09,4,"12:25 PM","CR","11/8/16",10,190,20,20.966,419.32,0.051,10,0.51,208.18005,0.269230769
"257","0J142107",323,"0J1",2015-04-13,4,"9:30 AM","CR","12/8/16",10,90,10,14.656,146.56,0.017,10,0.17,218.28819,0.346153846
"258","0J042107",324,"0J0",2015-04-13,4,"9:50 AM","CR","11/8/16",10,190,20,12.603,252.06,0.018,10,0.18,354.5644,0.384615385
"259","6I242107",325,"6I2",2015-04-13,4,"11:50 AM","CR","12/8/16",10,790,80,26.131,2090.48,0.06,40,2.4,220.54564,0.634615385
"260","5G242107",326,"5G2",2015-04-13,4,"12:16 PM","CR","11/8/16",10,190,20,56.158,1123.16,0.114,10,1.14,249.45975,0.596153846
"261","3I542107",327,"3I5",2015-04-13,4,"9:29 AM","LR","11/8/16",10,190,20,24.846,496.92,0.05,10,0.5,251.64029,0.25
"262","1E542108",328,"1E5",2015-04-14,4,"11:38 AM","CR","11/8/16",10,190,20,17.002,340.04,0.017,10,0.17,506.45958,0.480769231
"263","8D642108",329,"8D6",2015-04-14,4,"11:56 AM","CR","11/8/16",10,190,20,23.927,478.54,0.015,10,0.15,807.77552,0.461538462
"264","0J842108",330,"0J8",2015-04-14,4,"1:58 PM","CR","11/8/16",10,190,20,39.117,782.34,0.055,10,0.55,360.16089,0.615384615
"265","8D642108",331,"8D6",2015-04-14,4,"11:52 AM","LR","11/8/16",10,190,20,15.08,301.6,0.016,10,0.16,477.282,0.461538462
"266","0J142108",332,"0J1",2015-04-14,4,"1:29 PM","LR","11/8/16",10,190,20,19.292,385.84,0.039,10,0.39,250.4992,0.346153846
"267","5B242109",333,"5B2",2015-04-15,4,"1:33 PM","LR","11/8/16",10,190,20,38.184,763.68,0.054,10,0.54,358.08107,0.153846154
"268","6H242109",335,"6H2",2015-04-15,4,"9:24 AM","LR","12/8/16",5,45,10,12.66,126.6,0.018,10,0.18,178.084,0.326923077
"269","3I542109",336,"3I5",2015-04-15,4,"8:36 AM","LR","11/8/16",10,190,20,7.91,158.2,0.008,10,0.08,500.703,0.25
"270","3I242109",337,"3I2",2015-04-15,4,"8:41 AM","LR","11/8/16",10,190,20,3.162,63.24,0.007,10,0.07,228.74811,0.269230769
"271","0J142109",338,"0J1",2015-04-15,4,"1:27 PM","","11/8/16",10,190,20,12.958,259.16,0.015,10,0.15,437.46208,0.346153846
"272","8B542109",339,"8B5",2015-04-15,4,"1:16 PM","LR","11/8/16",10,190,20,25.118,502.36,0.029,10,0.29,438.61225,0.423076923
"273","6H242109",340,"6H2",2015-04-15,4,"8:33 AM","CR","11/8/16",10,190,20,6.171,123.42,0.016,10,0.16,195.31215,0.326923077
"274","6I142109",341,"6I1",2015-04-15,4,"10:11 AM","CR","11/8/16",10,190,20,30.504,610.08,0.035,10,0.35,441.3493,0.365384615
"275","4I842109",342,"4I8",2015-04-15,4,"11:44 AM","CR","11/10/16",10,190,20,17.697,353.94,0.028,10,0.28,320.06289,0.307692308
"276","0J042110",344,"0J0",2015-04-16,4,"9:30 AM","CR","11/10/16",10,190,20,4.201,84.02,0.015,10,0.15,141.82576,0.384615385
"277","3I242110",345,"3I2",2015-04-16,4,"10:13 AM","CR","11/10/16",10,190,20,5.159,103.18,0.008,10,0.08,326.5647,0.269230769
"278","3I242110",346,"3I2",2015-04-16,4,"10:25 AM","CR","11/10/16",10,190,20,4.964,99.28,0.01,10,0.1,251.37696,0.269230769
"279","6I142110",347,"6I1",2015-04-16,4,"12:26 PM","CR","11/10/16",10,190,20,9.753,195.06,0.018,10,0.18,274.3844,0.365384615
"280","6I142110",348,"6I1",2015-04-16,4,"12:47 PM","CR","11/10/16",10,190,20,12.794,255.88,0.021,10,0.21,308.51817,0.365384615
"281","5B242110",349,"5B2",2015-04-16,4,"9:55 AM","LR","11/10/16",10,190,20,5.871,117.42,0.024,10,0.24,123.8781,0.153846154
"282","3I342110",350,"3I3",2015-04-16,4,"1:57 PM","LR","12/16/16",10,190,20,23.875,477.5,0.046,10,0.46,262.83261,0.230769231
"283","0J042110",351,"0J0",2015-04-16,4,"1:08 PM","LR","11/10/16",5,95,20,3.006,60.12,0.01,10,0.1,152.22384,0.384615385
"284","2J942110",352,"2J9",2015-04-16,4,"1:02 PM","LR","12/8/16",10,790,80,24.107,1928.56,0.146,10,1.46,334.45986,0.557692308
"285","6I242110",353,"6I2",2015-04-16,4,"8:55 AM","LR","12/8/16",10,390,40,25.105,1004.2,0.183,10,1.83,138.94177,0.634615385
"286","0G842111",354,"0G8",2015-04-17,4,"9:20 AM","LR","11/10/16",10,190,20,32.352,647.04,0.146,10,1.46,112.21269,0.519230769
"287","5G242111",355,"5G2",2015-04-17,4,"10:23 AM","LR","11/10/16",10,190,20,39.138,782.76,0.118,10,1.18,167.96172,0.596153846
"288","4I842111",356,"4I8",2015-04-17,4,"7:30 AM","LR","11/10/16",10,190,20,19.549,390.98,0.063,10,0.63,157.13672,0.307692308
"289","9F942111",358,"9F9",2015-04-17,4,"7:32 AM","CR","12/16/16",10,390,40,28.196,1127.84,0.164,10,1.64,174.12749,0.403846154
"290","2J942114",360,"2J9",2015-04-20,4,"7:28 AM","CR","12/8/16",5,95,20,40.4625,809.25,0.139,10,1.39,147.41158,0.557692308
"291","1E542114",361,"1E5",2015-04-20,4,"7:50 AM","CR","11/10/16",10,190,20,54.538,1090.76,0.087,10,0.87,317.44877,0.480769231
"292","8B542114",362,"8B5",2015-04-20,4,"10:59 AM","CR","11/10/16",10,190,20,19.761,395.22,0.035,10,0.35,285.91344,0.423076923
"293","0J142114",363,"0J1",2015-04-20,4,"1:45 PM","CR","11/10/16",5,95,20,35.101,702.02,0.033,10,0.33,538.6408,0.346153846
"294","1E542114",364,"1E5",2015-04-20,4,"12:26 PM","LR","2/15/17",10,390,40,29.633,1185.32,0.082,10,0.82,366.00369,0.480769231
"295","6H242114",365,"6H2",2015-04-20,4,"9:00 AM","LR","11/10/16",5,95,20,8.378,167.56,0.032,10,0.32,132.58185,0.326923077
"296","0J142114",366,"0J1",2015-04-20,4,"9:45 AM","LR","11/10/16",10,190,20,7.595,151.9,0.008,10,0.08,480.7635,0.346153846
"297","3I342114",367,"3I3",2015-04-20,4,"2:05 PM","LR","12/8/16",10,790,80,30.449,2435.92,0.189,10,1.89,326.33595,0.230769231
"298","2J942114",368,"2J9",2015-04-20,4,"2:13 PM","LR","12/8/16",10,790,80,25.026,2002.08,0.105,10,1.05,482.78729,0.557692308
"299","9F942114",369,"9F9",2015-04-20,4,"11:45 AM","LR","11/10/16",10,190,20,36.857,737.14,0.059,10,0.59,316.34551,0.403846154
"300","5G242115",372,"5G2",2015-04-21,4,"8:43 AM","JH","11/10/16",10,190,20,27.818,556.36,0.112,10,1.12,125.7771,0.596153846
"301","6H242115",373,"6H2",2015-04-21,4,"9:39 AM","CR","11/10/16",10,190,20,5.218,104.36,0.009,10,0.09,293.59947,0.326923077
"302","0J142115",374,"0J1",2015-04-21,4,"9:10 AM","CR","11/10/16",10,190,20,7.642,152.84,0.013,10,0.13,297.68529,0.346153846
"303","9F942115",375,"9F9",2015-04-21,4,"10:24 AM","CR","11/10/16",10,190,20,5.948,118.96,0.01,10,0.1,301.20672,0.403846154
"304","8D642115",377,"8D6",2015-04-21,4,"12:15 PM","LR","12/16/17",10,790,80,18.334,1466.72,0.071,10,0.71,523.06127,0.461538462
"305","2J942115",378,"2J9",2015-04-21,4,"1:10 PM","LR","2/15/17",10,790,80,43.871,3509.68,0.183,10,1.83,485.60163,0.557692308
"306","5B242116",379,"5B2",2015-04-22,4,"9:16 AM","CR","11/10/16",10,190,20,7.279,145.58,0.02,10,0.2,184.30428,0.153846154
"307","5B242116",380,"5B2",2015-04-22,4,"9:24 AM","CR","12/5/16",10,190,20,10.159,203.18,0.019,10,0.19,270.76408,0.153846154
"308","6I142116",381,"6I1",2015-04-22,4,"8:44 AM","CR","12/5/16",10,190,20,5.984,119.68,0.024,10,0.24,126.2624,0.365384615
"309","6I142116",382,"6I1",2015-04-22,4,"8:56 AM","CR","12/5/16",10,190,20,6.115,122.3,0.013,10,0.13,238.20277,0.365384615
"310","8D642116",383,"8D6",2015-04-22,4,"12:16 PM","CR","12/5/16",10,190,20,20.958,419.16,0.015,10,0.15,707.54208,0.461538462
"311","3I542116",384,"3I5",2015-04-22,4,"12:51 PM","CR","12/5/16",5,95,20,7.642,152.84,0.011,10,0.11,351.80989,0.25
"312","9F942116",385,"9F9",2015-04-22,4,"1:03 PM","CR","12/5/16",10,190,20,12.812,256.24,0.026,10,0.26,249.53834,0.403846154
"313","6I142116",386,"6I1",2015-04-22,4,"1:07 PM","CR","2/15/17",10,90,10,17.985,179.85,0.013,10,0.13,350.29246,0.365384615
"314","3I242116",387,"3I2",2015-04-22,4,"1:13 PM","CR","12/5/16",10,190,20,2.62,52.4,0.007,10,0.07,189.53829,0.269230769
"315","5B242116",388,"5B2",2015-04-22,4,"1:37 PM","CR","12/5/16",10,190,20,18.714,374.28,0.031,10,0.31,305.70225,0.153846154
"316","0J142116",389,"0J1",2015-04-22,4,"10:43 AM","LR","12/5/16",10,190,20,7.809,156.18,0.012,10,0.12,329.5398,0.346153846
"317","3I242116",391,"3I2",2015-04-22,4,"8:39 AM","LR","2/15/17",10,90,10,6.478,64.78,0.013,10,0.13,126.17151,0.269230769
"318","3I242116",392,"3I2",2015-04-22,4,"1:45 PM","LR","12/5/16",10,190,20,4.871,97.42,0.008,10,0.08,308.3343,0.269230769
"319","0J042117",393,"0J0",2015-04-23,4,"8:20 AM","CR","12/5/16",10,190,20,9.215,184.3,0.022,10,0.22,212.11255,0.384615385
"320","0J142117",394,"0J1",2015-04-23,4,"9:36 AM","CR","12/5/16",10,190,20,7.262,145.24,0.011,10,0.11,334.31607,0.346153846
"321","3I242117",395,"3I2",2015-04-23,4,"","LR","12/5/16",10,190,20,10.8,216,0.029,10,0.29,188.59034,0.269230769
"322","0J842117",396,"0J8",2015-04-23,4,"10:55 AM","LR","12/5/16",10,190,20,8.296,165.92,0.016,10,0.16,262.5684,0.615384615
"323","4I842117",397,"4I8",2015-04-23,4,"1:46 PM","CR","12/5/16",5,95,20,109.947,2198.94,0.12,10,1.2,463.97634,0.307692308
"324","6H242119",398,"6H2",2015-04-25,4,"8:56 AM","CR","12/5/16",10,190,20,11.87,237.4,0.014,10,0.14,429.35486,0.326923077
